#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
GE|GSI|1.3039|97.5755|107.0|GEOFON Station Gunungsitoli, Nias, Indonesia|2005-10-02T00:00:00.0000|
GE|GVD|34.839199|24.087299|180.0|GEOFON Station Gavdos Island, Greece|2003-09-12T00:00:00.0000|
GE|HLG|54.1847|7.8839|41.0|UKiel/GEOFON Station Helgoland, Germany|2002-06-20T00:00:00.0000|
GE|HMDM|6.77314|73.182159|1.0|GEOFON Station Hanimaadhoo, Maldives|2008-01-22T00:00:00.0000|
GE|IBBN|52.306301|7.7592|140.0|RUB/GEOFON Station Ibbenbueren, Germany|1999-07-12T00:00:00.0000|
GE|ISP|37.8433|30.5093|1100.0|GEOFON/MedNet Station Isparta, Turkey|1999-08-01T00:00:00.0000|
GE|JAGI|-8.4702|114.1521|171.0|GEOFON Station Jajag, Java, Indonesia|2008-07-21T00:00:00.0000|
GE|KAAM|0.49264|72.994858|1.0|GEOFON Station Kaadhehdhoo, Maldives|2008-01-29T00:00:00.0000|
GE|KARN|35.401901|23.9174|420.0|Karanos, Crete, Greece|2004-12-03T00:00:00.0000|
GE|KBS|78.925598|11.9417|77.0|IRIS/GEOFON/AWI Station Ny Alesund, Spitsbergen|1999-04-15T00:00:00.0000|
GE|KBU|34.515099|69.134697|1820.0|GEOFON Station Kabul, Afghanistan|2005-11-24T00:00:00.0000|
GE|KMBO|-1.1268|37.2523|1940.0|IRIS/GEOFON Station Kilima Mbogo, Kenya|1995-09-17T00:00:00.0000|
GE|KSDI|33.192001|35.659|123.0|GII Station Kfar Sold, Israel|2002-01-30T00:00:00.0000|
GE|KWP|49.630501|22.7078|463.0|KALWARIA, POLAND|1999-04-10T00:00:00.0000|
GE|LAST|35.161098|25.4786|870.0|GEOFON Station Lasithi, Greece|2004-06-22T00:00:00.0000|
GE|LHMI|5.2288|96.947197|3.0|GEOFON Station Lhokseumave, Sumatra, Indonesia|2008-02-29T00:00:00.0000|
GE|LUWI|-1.0418|122.771698|6.0|GEOFON Station Luwuk, Sulawesi, Indonesia|2008-03-10T00:00:00.0000|
GE|LVC|-22.6182|-68.911301|2915.0|IRIS/GEOFON Station Calama, Chile|1996-12-02T00:00:00.0000|
GE|MALT|38.3134|38.427299|1120.0|GEOFON/MedNet Station Malatya, Turkey|2000-05-26T00:00:00.0000|
GE|MATE|40.649071|16.70442|494.0|U Basilicata/GEOFON Station Matera, Italy|2007-04-24T00:00:00.0000|
GE|MMRI|-8.6357|122.237602|137.0|GEOFON Station Maumere, Flores, Indonesia|2006-11-09T00:00:00.0000|
GE|MNAI|-4.3605|102.955704|154.0|GEOFON Station Manna, Sumatra, Indonesia|2006-07-27T00:00:00.0000|
GE|MORC|49.7766|17.542801|740.0|GEOFON Station Moravsky Beroun, Czech Republic, GEOFON Netwo|1999-07-19T00:00:00.0000|
GE|MTE|40.3997|-7.5442|815.0|GEOFON Station Manteigas, Portugal|1999-06-08T00:00:00.0000|
GE|PMBI|-2.9024|104.699303|25.0|GEOFON Station Palembang, Sumatra, Indonesia|2009-05-30T00:00:00.0000|
GE|PMG|-9.4092|147.1539|67.0|IRIS/GEOFON/PACIFIC21 Station Port Moresby, PNG|1993-09-10T00:00:00.0000|
GE|PSZ|47.918201|19.8934|937.0|GKKI/GEOFON Station Piszkes, Hungary|1995-01-01T00:00:00.0000|
GE|PUL|59.766998|30.316999|65.0|GEOFON Station Pulkovo, Russia|1999-11-17T00:00:00.0000|
GE|RGN|54.547699|13.3214|15.0|GRSN/GEOFON Station Ruegen, Germany|1999-05-28T00:00:00.0000|
GE|RUE|52.475899|13.78|40.0|GRSN/GEOFON Station Ruedersdorf, Germany|2000-01-19T00:00:00.0000|
GE|SANT|36.370998|25.459|540.0|GEOFON Station Santorini, Greece|2000-01-01T00:00:00.0000|
GE|SAUI|-7.9826|131.298798|110.0|GEOFON Station Saumlaki, Tanimbar, Indonesia|2009-08-25T00:00:00.0000|
GE|SIVA|35.017502|24.809999|95.0|GEOFON Station Sivas, Crete, Greece|2004-12-01T00:00:00.0000|
GE|SLIT|57.6287|22.290501|15.0|LEGMA/GEOFON Station Slitere, Latvia|2006-10-25T00:00:00.0000|
GE|SMRI|-7.04915|110.440666|203.0|GEOFON Station Semarang, Java, Indonesia|2006-11-01T00:00:00.0000|
GE|SNAA|-71.6707|-2.8379|846.0|GEOFON/AWI Station Sanae, Antarctica|2003-01-10T00:00:00.0000|
GE|SOCY|12.18703|53.987419|804.0|GEOFON Station Socotra, Yemen|2009-01-22T00:00:00.0000|
GE|SOEI|-9.7553|124.267197|1047.0|GEOFON Station Soe, Timor, Indonesia|2006-12-13T00:00:00.0000|
GE|STU|48.7719|9.195|360.0|VBB Station Stuttgart, Germany|2000-01-01T00:00:00.0000|
GE|SUMG|72.5742|-38.4626|3202.0|GEOFON Station Summit Camp, Greenland|2022-07-22T12:00:00.0000|
GE|SUW|54.012501|23.180799|152.0|GEOFON Station Suwalki, Poland|1999-09-03T00:00:00.0000|
GE|TIRR|44.458099|28.4128|77.0|GEOFON Station Tirgusor, Romania|2003-10-13T00:00:00.0000|
GE|TNTI|0.7718|127.366699|43.0|GEOFON Station Ternate, Indonesia|2007-01-05T00:00:00.0000|
GE|TOLI|1.1214|120.794403|86.0|GEOFON Station Tolitoli, Sulawesi, Indonesia|2008-06-30T00:00:00.0000|
GE|UGM|-7.9125|110.5231|350.0|GEOFON Station Wanagama, Indonesia|1995-08-23T00:00:00.0000|
GE|VAL|51.9394|-10.2442|14.0|DIAS/IMS/GEOFON Station Valentia, Ireland|2007-10-22T00:00:00.0000|
GE|VSU|58.462002|26.734699|63.0|GEOFON Station Vasula, Estonia|2003-04-26T00:00:00.0000|
GE|WIN|-22.569099|17.091499|1720.0|GSN/GEOFON Station Windhoek, Namibia|2008-01-01T00:00:00.0000|
GE|WLF|49.6646|6.1526|295.0|GEOFON Station Walferdange, Luxembourg|1999-12-21T00:00:00.0000|
